locationid,questionid,score,status
1,2,2.222,1
2,2,2.238,1
3,2,2.263,1
4,2,2.264,1
5,2,2.268,1
6,2,2.325,1
7,2,2.335,1
8,2,2.369,1
9,2,2.385,1
10,2,2.435,1
11,2,2.491,1
12,2,2.495,1
13,2,2.553,1
14,2,2.560,1
15,2,2.593,1
16,2,2.622,1
17,2,2.664,1
18,2,2.667,1
19,2,2.690,1
20,2,2.704,1
21,2,2.767,1
22,2,3.060,1
23,2,3.224,1
24,2,3.241,1
25,2,3.914,1
26,2,1.029,1
27,2,1.151,1
28,2,1.170,1
29,2,1.170,1
30,2,1.236,1
31,2,1.269,1
32,2,1.273,1
33,2,1.279,1
34,2,1.315,1
35,2,1.328,1
36,2,1.346,1
37,2,1.351,1
38,2,1.381,1
39,2,1.399,1
40,2,1.404,1
41,2,1.414,1
42,2,1.423,1
43,2,1.446,1
44,2,1.455,1
45,2,1.482,1
46,2,1.482,1
47,2,1.488,1
48,2,1.499,1
49,2,1.500,1
50,2,1.516,1